CID,BDATE,GEN
NASAW00011000,1976-11-09,Male
NASAW00011001,1979-06-04,Male
NASAW00011002,1991-01-07,Male
NASAW00011003,1980-12-27,Female
NASAW00011004,1999-07-16,Female
NASAW00011005,1968-10-31,Male
NASAW00011006,2001-09-30,Female
NASAW00011007,1965-07-14,Male
NASAW00011008,1990-08-22,Female
NASAW00011009,1997-07-04,Male
NASAW00011010,1972-05-15,Female
NASAW00011011,1990-01-08,Male
NASAW00011012,1996-10-12,Female
NASAW00011013,1985-12-14,Male
NASAW00011014,1997-05-28,Female
NASAW00011015,1980-04-24,Female
NASAW00011016,1991-06-18,Male
NASAW00011017,1997-04-17,Female
NASAW00011018,1988-08-25,Male
NASAW00011019,2008-01-13,Male
NASAW00011020,1999-08-16,Male
NASAW00011021,1987-04-27,Female
NASAW00011022,1972-06-09,Female
NASAW00011023,1983-04-20,Female
NASAW00011024,1988-01-18,Female
NASAW00011025,1984-03-30,Female
NASAW00011026,2002-09-19,Female
NASAW00011027,1970-12-12,Female
NASAW00011028,2001-01-17,Female
NASAW00011029,2003-03-18,Female
NASAW00011030,1985-08-26,Female
NASAW00011031,1975-03-23,Female
NASAW00011032,2002-02-28,Female
NASAW00011033,1965-05-17,Female
NASAW00011034,1987-07-31,Female
NASAW00011035,2001-08-04,Female
NASAW00011036,1986-12-26,Female
NASAW00011037,1984-05-14,Female
NASAW00011038,1989-04-17,Female
NASAW00011039,1988-03-30,  
NASAW00011040,1998-02-18, 
NASAW00011041,2000-08-21, 
NASAW00011042,1978-10-27,Female
NASAW00011043,1969-09-17,Female
NASAW00011044,2003-11-28,Female
NASAW00011045,1996-10-08,Female
NASAW00011046,1976-12-08,Female
NASAW00011047,1966-11-04,Female
NASAW00011048,1966-01-21,Female
NASAW00011049,1978-05-10,Female
NASAW00011050,1970-09-12,Female
NASAW00011051,2005-02-10,Female
NASAW00011052,2007-10-31,Female
NASAW00011053,1980-01-28,Female
NASAW00011054,1992-11-10,Female
NASAW00011055,1999-12-29,M 
NASAW00011056,1963-08-29,F 
NASAW00011057,1995-10-11,Female
NASAW00011058,1996-12-05,Female
NASAW00011059,1997-04-21,Female
NASAW00011060,1994-01-21,Female
NASAW00011061,1967-05-31,Male
NASAW00011062,1982-11-30,Male
